,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_leaf_size,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1206,0.0010007381439208984,3.8738433859996607e-07,0.0029992580413818358,4.1019083342755444e-07,11,12,2,uniform,"{'leaf_size': 11, 'n_neighbors': 12, 'p': 2, 'weights': 'uniform'}",0.6190476190476191,0.6984126984126984,0.6825396825396826,0.6587301587301587,0.6507936507936508,66.19047619047619,0.02730896910172261,3970
1207,0.00040078163146972656,0.0004908559483093505,0.0017990589141845704,0.00040111555919381697,11,12,2,distance,"{'leaf_size': 11, 'n_neighbors': 12, 'p': 2, 'weights': 'distance'}",0.6746031746031746,0.7063492063492064,0.6904761904761905,0.6825396825396826,0.6666666666666666,68.41269841269842,0.013654484550861328,834
1208,0.0010009765625,3.2340669551493016e-07,0.0027990341186523438,0.00039982808510602566,11,13,1,uniform,"{'leaf_size': 11, 'n_neighbors': 13, 'p': 1, 'weights': 'uniform'}",0.6587301587301587,0.6746031746031746,0.6984126984126984,0.6746031746031746,0.6507936507936508,67.14285714285715,0.016342270065058718,1814
1209,0.0010002613067626952,1.1680077279964342e-07,0.0011997699737548828,0.00039992333879854,11,13,1,distance,"{'leaf_size': 11, 'n_neighbors': 13, 'p': 1, 'weights': 'distance'}",0.6825396825396826,0.7142857142857143,0.7142857142857143,0.6746031746031746,0.6587301587301587,68.88888888888889,0.022108552820927177,393
1210,0.00020017623901367188,0.00040035247802734376,0.004219484329223633,0.005130058252803294,11,13,2,uniform,"{'leaf_size': 11, 'n_neighbors': 13, 'p': 2, 'weights': 'uniform'}",0.6428571428571429,0.6904761904761905,0.6984126984126984,0.6904761904761905,0.626984126984127,66.98412698412699,0.029095718698132298,2206
1211,0.0008004188537597656,0.00040020955471062683,0.0017993450164794922,0.0003997090998385524,11,13,2,distance,"{'leaf_size': 11, 'n_neighbors': 13, 'p': 2, 'weights': 'distance'}",0.6587301587301587,0.6984126984126984,0.7222222222222222,0.7222222222222222,0.6507936507936508,69.04761904761905,0.03053235565344657,344
1212,0.001001119613647461,3.9895058943465975e-07,0.0026828289031982423,0.0006320000234476932,11,14,1,uniform,"{'leaf_size': 11, 'n_neighbors': 14, 'p': 1, 'weights': 'uniform'}",0.6666666666666666,0.7142857142857143,0.6904761904761905,0.626984126984127,0.6349206349206349,66.66666666666666,0.032914986275123376,3039
1213,0.0,0.0,0.0,0.0,11,14,1,distance,"{'leaf_size': 11, 'n_neighbors': 14, 'p': 1, 'weights': 'distance'}",0.6825396825396826,0.7301587301587301,0.7063492063492064,0.6904761904761905,0.6587301587301587,69.36507936507937,0.023862375203766512,197
1214,0.0,0.0,0.006249618530273437,0.0076541882668708615,11,14,2,uniform,"{'leaf_size': 11, 'n_neighbors': 14, 'p': 2, 'weights': 'uniform'}",0.6428571428571429,0.7142857142857143,0.6666666666666666,0.6746031746031746,0.6349206349206349,66.66666666666667,0.027947328351839707,2892
1215,0.0,0.0,0.0031246662139892576,0.006249332427978515,11,14,2,distance,"{'leaf_size': 11, 'n_neighbors': 14, 'p': 2, 'weights': 'distance'}",0.6666666666666666,0.6904761904761905,0.7063492063492064,0.7063492063492064,0.6507936507936508,68.41269841269842,0.02210855282092719,834
1216,0.0002002716064453125,0.000400543212890625,0.001634836196899414,0.002117350855104145,11,15,1,uniform,"{'leaf_size': 11, 'n_neighbors': 15, 'p': 1, 'weights': 'uniform'}",0.6428571428571429,0.6666666666666666,0.6587301587301587,0.6587301587301587,0.6428571428571429,65.39682539682539,0.009523809523809488,5048
1217,0.0006002902984619141,0.0004901350303799149,0.00209660530090332,0.0006800055394129952,11,15,1,distance,"{'leaf_size': 11, 'n_neighbors': 15, 'p': 1, 'weights': 'distance'}",0.6507936507936508,0.7222222222222222,0.6904761904761905,0.6666666666666666,0.6507936507936508,67.6190476190476,0.027216552697590858,1471
1218,0.0008009433746337891,0.00040047218056214794,0.0031989097595214845,0.0003999246464456509,11,15,2,uniform,"{'leaf_size': 11, 'n_neighbors': 15, 'p': 2, 'weights': 'uniform'}",0.6666666666666666,0.7063492063492064,0.6587301587301587,0.6587301587301587,0.6349206349206349,66.5079365079365,0.02322022037829811,3284
